,Name,Competitive Status,Date of death,Nationality,Race death
0,Joaquim Agostinho,Road cyclist (professional),1984-05-10,Portugal,1
1,Emilio Ravasio,Road cyclist (professional),1986-05-28,Italy,1
2,Vicente Mata,Road cyclist (professional),1987-02-17,Spain,1
3,Michel Goffin,Road cyclist (professional),1987-02-27,Belgium,1
4,Connie Meijer,Road cyclist,1988-08-17,Netherlands,1
5,Fabio Casartelli,Road cyclist (professional),1995-07-18,Italy,1
6,José Antonio Espinosa,Road cyclist (professional),1996-11-01,Spain,1
7,Manuel Sanroma,Road cyclist (professional),1999-06-19,Spain,1
8,Saúl Morales,Road cyclist (professional),2000-02-28,Spain,1
9,Nicole Reinhart,"Road, Track cyclist (professional)",2000-09-17,United States,1
10,Andrey Kivilev,Road cyclist (professional),2003-03-12,Kazakhstan,1
11,Juan Barrero,Road cyclist (amateur),2004-06-11,Colombia,1
12,Tim Pauwels,Cyclo-cross (professional),2004-09-26,Belgium,1
13,Alessio Galletti,Road cyclist (professional),2005-06-15,Italy,1
14,Patricia Pepper,Road cyclist,2006-07-25,United Kingdom,1
15,Isaac Gálvez,Road cyclist (professional),2006-11-26,Spain,1
16,Bruno Neves,Road cyclist (professional),2008-05-11,Portugal,1
17,Thomas Casarotto,Road cyclist (professional),2010-09-10,Italy,1
18,Wouter Weylandt,Road cyclist (professional)Leopard Trek,2011-05-09,Belgium,1
19,Wouter Dewilde,Road cyclist,2013-03-01,Belgium,1
20,Junior Heffernan,Road cyclist (amateur),2013-03-03,Ireland,1
21,Marcelo Graces,Road cyclist,2013-03-31,Uruguay,1
22,Jeanné Nell,Track cyclist,2014-02-11,RSA,1
23,Annefleur Kalvenhaar,Mountainbiker,2014-08-23,Netherlands,1
24,Will Olson,Enduro/Mountainbike (amateur),2015-08-02,USA,1
25,Antoine Demoitié,Road cyclist (professional)Wanty–Groupe Gobert,2016-03-27,Belgium,1
26,Daan Myngheer,Road cyclist (professional)Roubaix–Métropole Européenne de Lille,2016-03-28,Belgium,1
27,Gijs Verdick,Road cyclist (professional)Cyclingteam Jo Piels,2016-05-09,Netherlands,1
28,Bahman Golbarnezhad,Road cyclistIranian Paralympic,2016-09-17,Iran,1
29,Eslam Nasser Zaki,"Road, Track cyclist",2017-03-20,Egypt,1
30,Mike Hall,Road endurance cyclist,2017-03-31,United Kingdom,1
31,Chad Young,Road cyclist (professional)Axeon–Hagens Berman,2017-04-28,United States,1
32,Casey Saunders,Road cyclist (professional),2017-06-25,United States,1
33,Ray Dare,Road cyclist (amateur),2017-07-19,United Kingdom,1
34,Mathieu Riebel,Road cyclist (professional)Shell Pacific team,2017-10-20,France,1
